scenario_id,scenario_group,scenario_type,level,target_scope,eps_import_dep,priority_mode,seed,max_iter,z_cost,total_penalty,objective,pen_shortage,pen_import,pen_local,pen_inv_floor,pen_infeas,shortage,import_dep,import_dep_violation,service_rate,local_prod,total_import,total_demand,elapsed_seconds,worst_shortage_prov,worst_shortage_month,worst_shortage_val
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,3,500,24819679721003.22,3369991004085.3516,28189670725088.57,5880452975.641658,2125602663032.2112,0.0,1238507888077.499,0.0,51.39842162185142,0.9077112380424144,0.007711238042414359,0.9999786669571501,240131.55499542187,2361827.23068839,2409333.82,31.97075009997934,9,7,51.39842162185141
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,4,500,24804515364769.34,2733936035022.378,27538451399791.715,11101124083.215635,2144496625795.4707,0.0,578338285143.6919,0.0,97.0299836541667,0.907779781353432,0.007779781353431936,0.9999597274637293,239529.67527529362,2357836.485753732,2409333.82,31.762123299762607,31,10,97.0299836541667
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,5,500,23858344078508.01,2045604661328.7422,25903948739836.754,0.0,1086753927357.048,0.0,958850733971.6941,0.0,0.0,0.9039425139858568,0.003942513985856766,1.0,240982.88999999998,2267753.2845498784,2409333.82,35.034608900081366,0,0,0.0
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,6,500,24034796169937.125,2005961844075.5483,26040758014012.67,0.0,1283769782919.3018,0.0,722192061156.2467,0.0,0.0,0.904657245947193,0.004657245947192967,1.0,240979.44027425806,2286527.16123201,2409333.82,34.24125830037519,0,0,0.0
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,7,500,23870970743427.105,1505168443358.0215,25376139186785.13,0.0,1002717203978.2495,0.0,502451239379.7721,0.0,0.0,0.9036376464819019,0.0036376464819019017,1.0,240982.89,2259816.241631219,2409333.82,35.48418579995632,0,0,0.0
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,8,500,24130006949527.637,2481445370660.796,26611452320188.43,4649759683.547287,1413860248165.787,0.0,1062935362811.4615,0.0,40.64147943112698,0.9051291867111046,0.005129186711104627,0.9999831316527856,240376.7788768127,2293350.6188722774,2409333.82,33.750591800082475,31,9,40.64147943112698
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,9,500,23829214062542.195,2232485177343.6934,26061699239885.887,94925453175.30452,1003074101248.1149,0.0,1134485622920.274,0.0,829.701127644377,0.9036389412299056,0.003638941229905601,0.9996556304814397,240859.67193634185,2258694.3492684625,2409333.82,61.08132020011544,29,9,829.701127644377
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,10,500,24731959399289.945,3628658173979.581,28360617573269.527,144979806326.385,1915815421593.716,0.0,1567862946059.4797,0.0,1267.2039455267961,0.9069501741873823,0.0069501741873823075,0.9994740438477193,240981.11190961205,2348826.1209904924,2409333.82,36.180025999899954,29,10,1044.960683236149
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,1,500,28111271214335.074,5993147237589.447,34104418451924.52,0.0,5661977682399.579,0.0,331169555189.86804,0.0,0.0,0.9205404605757963,0.020540460575796282,1.0,231780.35768511653,2685180.391957933,2409333.82,34.05684830015525,0,0,0.0
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,2,500,27649537211004.29,5516368998899.796,33165906209904.082,0.0,5244601943180.2705,0.0,271767055719.52518,0.0,0.0,0.9190263094438733,0.01902630944387329,1.0,231745.22125977906,2630236.4874675167,2409333.82,78.11387880006805,0,0,0.0
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,3,500,26063220989172.18,6661889459238.955,32725110448411.137,417683842344.70685,3282914227791.5815,0.0,2961291389102.6665,0.0,3650.788522992245,0.9119097202518636,0.011909720251863543,0.9984847311349357,238712.5576809355,2471150.078281299,2409333.82,51.23428460024297,29,9,1058.8450263411582
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,4,500,29210017560551.812,7601474314765.055,36811491875316.86,180306852384.6919,6011061122374.304,0.0,1410106340006.0586,0.0,1575.9819283591974,0.9218068616530654,0.021806861653065335,0.9993458847772455,237358.4022256776,2798181.636755026,2409333.82,85.18558000028133,9,4,671.7422638354938
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,5,500,27124039389051.98,6343267745559.801,33467307134611.78,1181025455.5769768,5251442447151.184,0.0,1090644272953.0396,0.0,10.32281774266903,0.9190511253492009,0.019051125349200837,0.9999957154887974,228221.3447591119,2591105.6161606424,2409333.82,56.733808800112456,9,6,10.32281774266903
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,6,500,27267272771258.496,8906188074787.947,36173460846046.445,236065375871.1801,7308379921840.229,0.0,1361742777076.5388,0.0,2063.3423597820347,0.9265132605739766,0.026513260573976627,0.9991436046169052,208608.59368857648,2630115.716546685,2409333.82,93.1735610999167,29,9,912.1739022292443
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,7,500,28696750508665.55,9392234228168.736,38088984736834.29,94220271134.84134,8919875962483.242,0.0,378137994550.653,0.0,823.537445359012,0.9323594282467625,0.03235942824676252,0.9996581887331167,201100.22934543414,2771970.8747705547,2409333.82,78.22805999964476,20,7,645.9676132937886
