province,metric,initial,optimized,change,change_pct
Kalimantan Barat,local_supply_ton,0.000,0.000,0.000,0.00
Kalimantan Barat,import_received_ton,16899.530,17584.889,685.360,4.06
Kalimantan Barat,transfer_in_ton,0.000,0.000,0.000,0.00
Kalimantan Barat,transfer_out_ton,0.000,0.000,0.000,0.00
Kalimantan Barat,shortage_ton,0.000,0.000,0.000,0.00
Kalimantan Barat,service_rate,1.000,1.000,0.000,0.00
Kalimantan Tengah,demand_ton,14924.580,14924.580,0.000,0.00
Kalimantan Tengah,local_supply_ton,0.000,0.000,0.000,0.00
Kalimantan Tengah,import_received_ton,17184.784,15459.291,-1725.493,-10.04
Kalimantan Tengah,transfer_in_ton,0.000,0.000,0.000,0.00
Kalimantan Tengah,transfer_out_ton,0.000,0.000,0.000,0.00
Kalimantan Tengah,shortage_ton,0.000,0.000,0.000,0.00
Kalimantan Tengah,service_rate,1.000,1.000,0.000,0.00
Kalimantan Selatan,demand_ton,62.310,62.310,0.000,0.00
Kalimantan Selatan,local_supply_ton,25.531,6.930,-18.601,-72.86
Kalimantan Selatan,import_received_ton,57.551,65.804,8.253,14.34
Kalimantan Selatan,transfer_in_ton,0.000,0.000,0.000,0.00
Kalimantan Selatan,transfer_out_ton,0.000,0.000,0.000,0.00
Kalimantan Selatan,shortage_ton,0.000,0.000,0.000,0.00
Kalimantan Selatan,service_rate,1.000,1.000,0.000,0.00
Kalimantan Timur,demand_ton,46670.030,46670.030,0.000,0.00
Kalimantan Timur,local_supply_ton,0.000,0.000,0.000,0.00
Kalimantan Timur,import_received_ton,54973.748,53969.394,-1004.354,-1.83
Kalimantan Timur,transfer_in_ton,0.000,0.000,0.000,0.00
Kalimantan Timur,transfer_out_ton,0.000,0.000,0.000,0.00
Kalimantan Timur,shortage_ton,0.000,0.000,0.000,0.00
Kalimantan Timur,service_rate,1.000,1.000,0.000,0.00
Kalimantan Utara,demand_ton,2989.630,2989.630,0.000,0.00
Kalimantan Utara,local_supply_ton,0.000,0.000,0.000,0.00
Kalimantan Utara,import_received_ton,3850.752,3487.903,-362.849,-9.42
Kalimantan Utara,transfer_in_ton,0.000,0.000,0.000,0.00
Kalimantan Utara,transfer_out_ton,0.000,0.000,0.000,0.00
Kalimantan Utara,shortage_ton,0.000,0.000,0.000,0.00
Kalimantan Utara,service_rate,1.000,1.000,0.000,0.00
Sulawesi Utara,demand_ton,218.300,218.300,0.000,0.00
Sulawesi Utara,local_supply_ton,0.000,0.000,0.000,0.00
Sulawesi Utara,import_received_ton,261.091,245.018,-16.073,-6.16
Sulawesi Utara,transfer_in_ton,0.000,0.000,0.000,0.00
Sulawesi Utara,transfer_out_ton,0.000,0.000,0.000,0.00
Sulawesi Utara,shortage_ton,0.000,0.000,0.000,0.00
Sulawesi Utara,service_rate,1.000,1.000,0.000,0.00
Sulawesi Tengah,demand_ton,148.750,148.750,0.000,0.00
Sulawesi Tengah,local_supply_ton,54.884,6.695,-48.189,-87.80
Sulawesi Tengah,import_received_ton,143.456,174.432,30.976,21.59
Sulawesi Tengah,transfer_in_ton,0.000,0.000,0.000,0.00
Sulawesi Tengah,transfer_out_ton,0.000,0.000,0.000,0.00
Sulawesi Tengah,shortage_ton,0.000,0.000,0.000,0.00
Sulawesi Tengah,service_rate,1.000,1.000,0.000,0.00
Sulawesi Selatan,demand_ton,144.730,144.730,0.000,0.00
Sulawesi Selatan,local_supply_ton,55.909,4.860,-51.049,-91.31
