province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Kep. Bangka Belitung,Mar,570.2,0.0,1146.9,0.0,0.0,791.9,0.0,1
Kep. Bangka Belitung,Apr,551.9,0.0,551.9,0.0,0.0,791.9,0.0,1
Kep. Bangka Belitung,Mei,570.2,0.0,1190.5,0.0,0.0,1412.2,0.0,1
Kep. Bangka Belitung,Jun,551.9,0.0,551.9,0.0,0.0,1412.2,0.0,1
Kep. Bangka Belitung,Jul,570.2,0.0,1657.3,0.0,0.0,2499.3,0.0,1
Kep. Bangka Belitung,Agu,570.2,0.0,322.9,0.0,0.0,2251.9,0.0,1
Kep. Bangka Belitung,Sep,551.9,0.0,1468.3,0.0,0.0,3168.4,0.0,1
Kep. Bangka Belitung,Okt,570.2,0.0,0.0,0.0,0.0,2598.1,0.0,1
Kep. Bangka Belitung,Nov,551.9,0.0,255.1,0.0,0.0,2301.4,0.0,1
Kep. Bangka Belitung,Des,570.2,0.0,319.4,0.0,0.0,2050.6,0.0,1
Kepulauan Riau,Jan,1197.5,0.0,1197.5,0.0,0.0,0.0,-0.0,0
Kepulauan Riau,Feb,1120.3,0.0,1111.9,0.0,0.0,0.0,8.4,0
Kepulauan Riau,Mar,1197.5,0.0,1197.5,0.0,0.0,0.0,-0.0,0
Kepulauan Riau,Apr,1158.9,0.0,1158.9,0.0,0.0,0.0,-0.0,0
Kepulauan Riau,Mei,1197.5,0.0,1197.6,0.0,0.0,0.0,0.0,0
Kepulauan Riau,Jun,1158.9,0.0,1159.2,0.0,0.0,0.3,0.0,0
Kepulauan Riau,Jul,1197.5,0.0,1198.2,0.0,0.0,0.9,0.0,0
Kepulauan Riau,Agu,1197.5,0.0,1226.9,0.0,0.0,30.3,0.0,0
Kepulauan Riau,Sep,1158.9,0.0,1160.0,0.0,0.0,31.4,0.0,0
Kepulauan Riau,Okt,1197.5,0.0,1198.2,0.0,0.0,32.0,0.0,0
Kepulauan Riau,Nov,1158.9,0.0,1002.7,0.0,0.0,0.0,124.2,0
Kepulauan Riau,Des,1197.5,0.0,670.8,0.0,0.0,0.0,526.7,0
DKI Jakarta,Jan,18953.6,0.0,20786.8,0.0,0.0,1833.2,0.0,0
DKI Jakarta,Feb,17119.4,0.0,16990.8,0.0,0.0,1704.6,0.0,0
DKI Jakarta,Mar,18953.6,0.0,18953.6,0.0,0.0,1704.6,0.0,0
DKI Jakarta,Apr,18342.2,0.0,18342.2,0.0,0.0,1704.6,0.0,0
DKI Jakarta,Mei,18953.6,0.0,18953.6,0.0,0.0,1704.6,0.0,0
DKI Jakarta,Jun,18342.2,0.0,18342.2,0.0,0.0,1704.6,0.0,0
DKI Jakarta,Jul,18953.6,0.0,18953.6,0.0,0.0,1704.6,0.0,0
DKI Jakarta,Agu,18953.6,0.0,19418.2,0.0,0.0,2169.2,0.0,0
DKI Jakarta,Sep,18342.2,0.0,18342.2,0.0,0.0,2169.2,0.0,0
