config,label,use_tabu,use_prs,SA_COOLING,SA_PAPER,SA_REDU,TABU_TENURE,SUB_IT,PRS_EVERY_ITER,PRS_SUB_IT,PRS_ALPHA,PRS_MOVE_MIN_FRAC,PRS_MOVE_MAX_FRAC,seed,z_cost,total_penalty,objective,shortage,import_dep,service_rate,local_prod,elapsed_seconds,worst_shortage_prov,worst_shortage_month,worst_shortage_val,mean_destruction_scale,min_destruction_scale,max_destruction_scale,std_destruction_scale,shortage_m01,shortage_m02,shortage_m03,shortage_m04,shortage_m05,shortage_m06,shortage_m07,shortage_m08,shortage_m09,shortage_m10,shortage_m11,shortage_m12,d_destroy_random_temporal,d_destroy_cost_based,d_destroy_shortage_based,d_destroy_geographic,d_destroy_bottleneck_port,d_destroy_relatedness,r_repair_greedy,r_repair_regret,r_repair_balanced,r_repair_transfer_focused,d_w_destroy_random_temporal,d_w_destroy_cost_based,d_w_destroy_shortage_based,d_w_destroy_geographic,d_w_destroy_bottleneck_port,d_w_destroy_relatedness,r_w_repair_greedy,r_w_repair_regret,r_w_repair_balanced,r_w_repair_transfer_focused
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,40,23603667787067.363,1774140497599.3525,25377808284666.72,0.0,0.9032336403313461,1.0,240982.88999999998,60.492323300102726,0,0,0.0,0.22124283101544218,0.010964912280701754,0.3497296412091097,0.08102599341728928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,62,82,81,72,98,179,109,115,97,0.106407,0.1,0.100018,0.100024,0.1,0.152867,0.112012,0.128126,0.121094,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,41,23417702872164.26,1426134059955.5176,24843836932119.78,4.440892098500626e-16,0.9025584392464642,1.0,240982.89000000004,59.02194140013307,34,2,4.440892098500626e-16,0.2277532614686065,0.010964912280701754,0.3493206421922854,0.07848542153326006,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,61,109,89,64,75,200,96,112,92,0.116756,0.1,0.172515,0.10545,0.1,0.150237,0.176516,0.100016,0.15,0.100021
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,42,23819344148779.695,1849321918061.6582,25668666066841.35,0.0,0.9039492547423617,1.0,240982.89,64.44435540004633,0,0,0.0,0.2241851982159639,0.010964912280701754,0.3489629785659216,0.08112533622924581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,65,91,89,53,100,188,95,124,93,0.101204,0.1,0.256966,0.100048,0.1,0.238578,0.103351,0.11168,0.224585,0.168562
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,43,24073341900040.7,2250175559776.9004,26323517459817.6,0.0,0.9051846646752596,1.0,240947.8362505853,56.92195689980872,0,0,0.0,0.22904246299133588,0.010964912280701754,0.34955575864888117,0.07828004785841666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,67,78,95,48,108,196,105,110,89,0.100836,0.1,0.113305,0.299642,0.100001,0.100273,0.229122,0.1,0.107077,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,44,24477769836261.938,3600937088652.057,28078706924913.992,186.26579745019603,0.906921831027225,0.9999226899170617,240926.62264903585,69.210044400068,9,11,186.26579745019603,0.1990497441903009,0.010964912280701754,0.34930693027906407,0.09690151638462682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.26579745019603,84,77,80,96,68,95,160,107,122,111,0.242988,0.1,0.100002,0.170363,0.1,0.100501,0.216675,0.1,0.1,0.100551
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,45,23734497819977.367,1348054184939.8884,25082552004917.254,0.0,0.9037769227196164,1.0,240982.89,64.41002619988285,0,0,0.0,0.22239352999535555,0.010964912280701754,0.349256494488996,0.08282047278920904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,66,104,80,53,101,190,85,135,90,0.101068,0.1,0.162149,0.100069,0.1,0.153049,0.187022,0.100211,0.119218,0.107046
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,46,23849126396023.555,3368156517794.4297,27217282913817.984,0.0,0.9041468097156387,1.0,240982.89,59.407716300105676,0,0,0.0,0.209566324126842,0.010964912280701754,0.3493484041973179,0.09752439341106917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,74,108,96,64,74,152,122,103,123,0.100526,0.1,0.13108,0.189294,0.1,0.100982,0.100218,0.10022,0.1,0.156264
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,47,23936223897442.082,2559308179640.5127,26495532077082.594,0.0,0.9046396644533391,1.0,240982.8899942998,57.896081699989736,0,0,0.0,0.22708649898718847,0.010964912280701754,0.34942509799291305,0.08049328900563485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,60,107,98,49,112,180,97,127,96,0.224455,0.1,0.356613,0.213908,0.100001,0.16158,0.403703,0.105164,0.112733,0.150002
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,48,23726545345175.938,1751587124061.3123,25478132469237.25,0.0,0.9038917162041988,1.0,240982.89,59.70424890005961,0,0,0.0,0.1814923441779353,0.010964912280701754,0.34936877668072935,0.10567830062749237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,69,118,90,63,82,156,114,106,124,0.100004,0.1,0.17581,0.170329,0.1,0.109438,0.1,0.141509,0.1,0.130422
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,49,25038343875219.633,2668623793142.704,27706967668362.336,28.356535515175295,0.9083262042943271,0.9999882305493412,240981.67976204611,72.69144350010902,28,2,21.150696873269,0.22399069685003464,0.010964912280701754,0.34892720064505334,0.08328550550790673,0.0,0.0,24.70439891383557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.652136601339727,84,59,92,93,63,109,174,91,129,106,0.105407,0.1,0.171201,0.136589,0.1,0.271125,0.367935,0.100009,0.119798,0.10401
